Name,,Team,œm,SXI,Sub,Goals,KC,Full CS,Part CS,Goals Conc,OG,Yellow Card,Red Card,Missed Pens,Saved Pens,Pts/œm,%,Week Points,Season Points,
,"Kane, H",Tottenham Hotspur,TOT,7,8,0,6,2,-,-,-,0,2,0,0,-,7.1,60,2,50
,"Davies, B",Tottenham Hotspur,TOT,3.4,6,0,2,3,3,0,4,0,1,0,0,-,12.9,17,0,44
,"Eriksen, C",Tottenham Hotspur,TOT,5.5,8,0,3,4,-,-,-,0,0,0,0,-,7.8,29,7,43
,"Trippier, K",Tottenham Hotspur,TOT,3.8,6,1,0,3,4,0,4,0,0,0,0,-,10.8,5,7,41
,"Vertonghen, J",Tottenham Hotspur,TOT,3.9,8,0,0,1,5,0,5,0,2,0,0,-,10.3,16,6,40
,"Lloris, H",Tottenham Hotspur,TOT,3.8,8,0,0,0,5,0,5,0,0,0,0,0,10.3,10,7,39
,"Alderweireld, T",Tottenham Hotspur,TOT,4.4,8,0,0,0,5,0,5,0,3,0,0,-,8.2,11,7,36
,"Alli, D",Tottenham Hotspur,TOT,5.8,8,0,2,3,-,-,-,0,1,0,0,-,5.9,38,2,34
,"Sanchez, D",Tottenham Hotspur,TOT,3.7,5,1,0,0,4,0,2,0,0,0,0,-,8.1,1,7,30
,"Sissoko, M",Tottenham Hotspur,TOT,3.4,4,4,1,0,-,-,-,0,0,0,0,-,5,0,1,17
,"Dier, E",Tottenham Hotspur,TOT,3.3,8,0,0,0,-,-,-,0,2,0,0,-,4.2,2,2,14
,"Heung-min, S",Tottenham Hotspur,TOT,5,3,4,0,1,-,-,-,0,0,0,0,-,2.6,1,2,13
,"Walker-Peters, K",Tottenham Hotspur,TOT,2.3,1,1,0,0,1,1,0,0,0,0,0,-,4.3,0,0,10
,"Winks, H",Tottenham Hotspur,TOT,2.7,2,4,0,0,-,-,-,0,0,0,0,-,3,0,2,8
,"Dembele, M",Tottenham Hotspur,TOT,3.2,3,1,0,0,-,-,-,0,0,0,0,-,2.2,0,0,7
,"Wanyama, V",Tottenham Hotspur,TOT,3.3,1,1,0,0,-,-,-,0,0,0,0,-,0.9,0,0,3
,"Aurier, S",Tottenham Hotspur,TOT,3.8,1,1,0,0,0,1,1,0,0,1,0,-,0.5,0,0,2
,"Llorente, F",Tottenham Hotspur,TOT,4.7,0,3,0,0,-,-,-,0,1,0,0,-,0.4,0,1,2
,"N'Koudou, G",Tottenham Hotspur,TOT,3,0,1,0,0,-,-,-,0,0,0,0,-,0.3,0,1,1
,"Janssen, V",Tottenham Hotspur,TOT,4.3,0,1,0,0,-,-,-,0,0,0,0,-,0.2,0,0,1
,"Gazzaniga, P",Tottenham Hotspur,TOT,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Carter-Vickers, C",Tottenham Hotspur,TOT,2.4,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Onomah, J",Tottenham Hotspur,TOT,2.5,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Foyth, J",Tottenham Hotspur,TOT,2.6,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
,"Vorm, M",Tottenham Hotspur,TOT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
,"Lamela, E",Tottenham Hotspur,TOT,3.9,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,-
,"Rose, D",Tottenham Hotspur,TOT,4.1,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-
